claim_id,study_id,stat_test,bf_family,design,bf_sidedness,bf_direction,observed_sign,direction_matches_observed,prior_label,rscale,t_for_bf,df_for_bf,r_value,n1,n2,n_total,p_value,bf10,bf_error,log_bf10,log10_bf10,prior_family,model_null,model_alt,method
study_27_claim_02,study_27,paired_t_test,t_test,one_sample,two_sided,NA,positive,NA,narrow,0.5,9.02724207476679,38,NA,NA,NA,39,5.4185907142138495e-11,144405387.12747845,1.5411566602734343e-14,NA,NA,NA,NA,NA,NA
study_27_claim_02,study_27,paired_t_test,t_test,one_sample,two_sided,NA,positive,NA,primary,0.707,9.02724207476679,38,NA,NA,NA,39,5.4185907142138495e-11,182078984.24179977,6.109890215324758e-13,NA,NA,NA,NA,NA,NA
study_27_claim_02,study_27,paired_t_test,t_test,one_sample,two_sided,NA,positive,NA,wide,1,9.02724207476679,38,NA,NA,NA,39,5.4185907142138495e-11,212512959.8245956,4.33614401171552e-15,NA,NA,NA,NA,NA,NA
study_30_claim_01,study_30,paired_t_test,t_test,one_sample,two_sided,NA,negative,NA,narrow,0.5,-1.2120366987318494,36,NA,NA,NA,37,0.23339342533095808,0.4521858415461433,1.5641525942287443e-4,NA,NA,NA,NA,NA,NA
study_30_claim_01,study_30,paired_t_test,t_test,one_sample,two_sided,NA,negative,NA,primary,0.707,-1.2120366987318494,36,NA,NA,NA,37,0.23339342533095808,0.3476388386024592,3.7385785864424247e-4,NA,NA,NA,NA,NA,NA
study_30_claim_01,study_30,paired_t_test,t_test,one_sample,two_sided,NA,negative,NA,wide,1,-1.2120366987318494,36,NA,NA,NA,37,0.23339342533095808,0.25864254685167487,7.128996393948858e-4,NA,NA,NA,NA,NA,NA
study_33_claim_01,study_33,one_sample_t_test,t_test,one_sample,two_sided,NA,positive,NA,narrow,0.5,4.270978296055972,11,NA,NA,NA,12,0.0013185060147071,27.51851961621932,8.943583657216405e-8,NA,NA,NA,NA,NA,NA
study_33_claim_01,study_33,one_sample_t_test,t_test,one_sample,two_sided,NA,positive,NA,primary,0.707,4.270978296055972,11,NA,NA,NA,12,0.0013185060147071,31.720482926146587,2.642997471504908e-9,NA,NA,NA,NA,NA,NA
study_33_claim_01,study_33,one_sample_t_test,t_test,one_sample,two_sided,NA,positive,NA,wide,1,4.270978296055972,11,NA,NA,NA,12,0.0013185060147071,33.79484487587499,7.321789132953771e-10,NA,NA,NA,NA,NA,NA
study_33_claim_02,study_33,one_sample_t_test,t_test,one_sample,two_sided,NA,positive,NA,narrow,0.5,16.030800890199103,11,NA,NA,NA,12,5.650748853873423e-9,1236506.1093075487,3.219653485845768e-12,NA,NA,NA,NA,NA,NA
study_33_claim_02,study_33,one_sample_t_test,t_test,one_sample,two_sided,NA,positive,NA,primary,0.707,16.030800890199103,11,NA,NA,NA,12,5.650748853873423e-9,1720221.213951452,1.4673308614903662e-11,NA,NA,NA,NA,NA,NA
study_33_claim_02,study_33,one_sample_t_test,t_test,one_sample,two_sided,NA,positive,NA,wide,1,16.030800890199103,11,NA,NA,NA,12,5.650748853873423e-9,2358308.45502912,1.2276944191088978e-11,NA,NA,NA,NA,NA,NA
study_41_claim_01,study_41,paired_t_test,t_test,one_sample,two_sided,NA,positive,NA,narrow,0.5,8.532340234397516,29,NA,NA,NA,30,2.1220678220813164e-9,4381290.713453433,1.232107493015413e-12,NA,NA,NA,NA,NA,NA
study_41_claim_01,study_41,paired_t_test,t_test,one_sample,two_sided,NA,positive,NA,primary,0.707,8.532340234397516,29,NA,NA,NA,30,2.1220678220813164e-9,5580440.54895773,6.107584430953643e-13,NA,NA,NA,NA,NA,NA
study_41_claim_01,study_41,paired_t_test,t_test,one_sample,two_sided,NA,positive,NA,wide,1,8.532340234397516,29,NA,NA,NA,30,2.1220678220813164e-9,6615939.056658093,2.907835841643394e-13,NA,NA,NA,NA,NA,NA
study_41_claim_02,study_41,paired_t_test,t_test,one_sample,two_sided,NA,positive,NA,narrow,0.5,6.151246852292457,28,NA,NA,NA,29,1.219425388797962e-6,12442.575377229865,3.340947496058584e-11,NA,NA,NA,NA,NA,NA
study_41_claim_02,study_41,paired_t_test,t_test,one_sample,two_sided,NA,positive,NA,primary,0.707,6.151246852292457,28,NA,NA,NA,29,1.219425388797962e-6,14725.20209602652,1.2334417534761286e-11,NA,NA,NA,NA,NA,NA
study_41_claim_02,study_41,paired_t_test,t_test,one_sample,two_sided,NA,positive,NA,wide,1,6.151246852292457,28,NA,NA,NA,29,1.219425388797962e-6,15876.026067036477,5.262011402961018e-12,NA,NA,NA,NA,NA,NA
study_47_claim_01,study_47,independent_t_test,t_test,independent,two_sided,NA,positive,NA,narrow,0.5,2.232189658058012,119,NA,63,58,121,0.02747386297158548,2.100609977426856,6.53951166649381e-5,NA,NA,NA,NA,NA,NA
study_47_claim_01,study_47,independent_t_test,t_test,independent,two_sided,NA,positive,NA,primary,0.707,2.232189658058012,119,NA,63,58,121,0.02747386297158548,1.7962424316465486,1.0430921303726508e-4,NA,NA,NA,NA,NA,NA
study_47_claim_01,study_47,independent_t_test,t_test,independent,two_sided,NA,positive,NA,wide,1,2.232189658058012,119,NA,63,58,121,0.02747386297158548,1.4402641964930054,1.4569155310416288e-4,NA,NA,NA,NA,NA,NA
study_49_claim_01,study_49,paired_t_test,t_test,one_sample,one_sided,positive,positive,TRUE,narrow,0.5,1.2048289933537484,27,NA,NA,NA,28,0.11936204599031028,0.8505900194736716,8.05554537433144e-5,NA,NA,NA,NA,NA,NA
study_49_claim_01,study_49,paired_t_test,t_test,one_sample,one_sided,positive,positive,TRUE,primary,0.707,1.2048289933537484,27,NA,NA,NA,28,0.11936204599031028,0.671997614246467,1.4970070135941776e-4,NA,NA,NA,NA,NA,NA
study_49_claim_01,study_49,paired_t_test,t_test,one_sample,one_sided,positive,positive,TRUE,wide,1,1.2048289933537484,27,NA,NA,NA,28,0.11936204599031028,0.5094284901454541,7.317593125126013e-7,NA,NA,NA,NA,NA,NA
study_49_claim_02,study_49,paired_t_test,t_test,one_sample,one_sided,positive,positive,TRUE,narrow,0.5,0.4748365300745268,27,NA,NA,NA,28,0.3193609686229255,0.3962437609262851,4.751885377818949e-8,NA,NA,NA,NA,NA,NA
study_49_claim_02,study_49,paired_t_test,t_test,one_sample,one_sided,positive,positive,TRUE,primary,0.707,0.4748365300745268,27,NA,NA,NA,28,0.3193609686229255,0.2998461179304834,7.538342031840296e-8,NA,NA,NA,NA,NA,NA
study_49_claim_02,study_49,paired_t_test,t_test,one_sample,one_sided,positive,positive,TRUE,wide,1,0.4748365300745268,27,NA,NA,NA,28,0.3193609686229255,0.2208031872482167,7.03778122627067e-8,NA,NA,NA,NA,NA,NA
study_51_claim_01,study_51,independent_t_test,t_test,independent,two_sided,NA,positive,NA,narrow,0.5,2.7850391786323447,100,NA,54,48,102,0.00640275145451495,6.621396794880843,5.589769811516402e-9,NA,NA,NA,NA,NA,NA
study_51_claim_01,study_51,independent_t_test,t_test,independent,two_sided,NA,positive,NA,primary,0.707,2.7850391786323447,100,NA,54,48,102,0.00640275145451495,6.1391261151198835,5.999709839585369e-9,NA,NA,NA,NA,NA,NA
study_51_claim_01,study_51,independent_t_test,t_test,independent,two_sided,NA,positive,NA,wide,1,2.7850391786323447,100,NA,54,48,102,0.00640275145451495,5.2454457354345845,5.3363848251848235e-5,NA,NA,NA,NA,NA,NA
study_51_claim_02,study_51,independent_t_test,t_test,independent,two_sided,NA,negative,NA,narrow,0.5,-0.9468752593737334,100,NA,54,48,102,0.3459848212862602,0.4050476514386639,6.857464349463457e-5,NA,NA,NA,NA,NA,NA
study_51_claim_02,study_51,independent_t_test,t_test,independent,two_sided,NA,negative,NA,primary,0.707,-0.9468752593737334,100,NA,54,48,102,0.3459848212862602,0.31189945440928973,2.235950196364296e-4,NA,NA,NA,NA,NA,NA
study_51_claim_02,study_51,independent_t_test,t_test,independent,two_sided,NA,negative,NA,wide,1,-0.9468752593737334,100,NA,54,48,102,0.3459848212862602,0.232589261484386,5.322350621888257e-4,NA,NA,NA,NA,NA,NA
study_53_claim_01,study_53,independent_t_test,t_test,independent,two_sided,NA,positive,NA,narrow,0.5,3.289601859790326,246,NA,126,122,248,0.00115012656411969,24.766626634662313,1.3317362792561655e-9,NA,NA,NA,NA,NA,NA
study_53_claim_01,study_53,independent_t_test,t_test,independent,two_sided,NA,positive,NA,primary,0.707,3.289601859790326,246,NA,126,122,248,0.00115012656411969,21.612970835096405,1.246871395739392e-5,NA,NA,NA,NA,NA,NA
study_53_claim_01,study_53,independent_t_test,t_test,independent,two_sided,NA,positive,NA,wide,1,3.289601859790326,246,NA,126,122,248,0.00115012656411969,17.466411603063165,1.4519473834558352e-5,NA,NA,NA,NA,NA,NA
study_53_claim_02,study_53,independent_t_test,t_test,independent,two_sided,NA,positive,NA,narrow,0.5,2.792941037337401,246,NA,126,122,248,0.00563382702166837,6.420247631822599,3.853436974526452e-5,NA,NA,NA,NA,NA,NA
study_53_claim_02,study_53,independent_t_test,t_test,independent,two_sided,NA,positive,NA,primary,0.707,2.792941037337401,246,NA,126,122,248,0.00563382702166837,5.373185840217522,4.256059522050955e-5,NA,NA,NA,NA,NA,NA
study_53_claim_02,study_53,independent_t_test,t_test,independent,two_sided,NA,positive,NA,wide,1,2.792941037337401,246,NA,126,122,248,0.00563382702166837,4.217273109596863,5.483267357674577e-5,NA,NA,NA,NA,NA,NA
study_06_claim_01,study_06,factorial_between_anova,gaussian_regression_simple_effect,wave2,two_sided,NA,NA,NA,narrow,0.3535533905932738,NA,NA,NA,14,12,26,2.471727607865699e-4,119.80535744925804,7.1559043912560275e-6,4.785868404625165,2.078476239243828,regression_mixture_g,outcome ~ course_other + condition_social_course_other,outcome ~ condition_social + course_other + condition_social_course_other,full_factorial_gaussian_simple_effect
study_06_claim_01,study_06,factorial_between_anova,gaussian_regression_simple_effect,wave2,two_sided,NA,NA,NA,primary,0.5,NA,NA,NA,14,12,26,2.471727607865699e-4,141.8623415721923,2.853915794143692e-6,4.954857161856467,2.151867124013071,regression_mixture_g,outcome ~ course_other + condition_social_course_other,outcome ~ condition_social + course_other + condition_social_course_other,full_factorial_gaussian_simple_effect
study_06_claim_01,study_06,factorial_between_anova,gaussian_regression_simple_effect,wave2,two_sided,NA,NA,NA,wide,0.7071067811865476,NA,NA,NA,14,12,26,2.471727607865699e-4,161.18087939384216,4.498923098109297e-6,5.082527208855189,2.2073135209289445,regression_mixture_g,outcome ~ course_other + condition_social_course_other,outcome ~ condition_social + course_other + condition_social_course_other,full_factorial_gaussian_simple_effect
study_10_claim_01,study_10,factorial_between_anova,anova_cauchy,wave2,two_sided,NA,NA,NA,narrow,0.25,NA,NA,NA,NA,NA,1049,9.929653960744502e-42,2650737931336559e23,0.01577503749839525,88.47307159966309,38.42336679276498,anova_cauchy,outcome ~ B,outcome ~ A + B,bayesfactor_model_comparison
study_10_claim_01,study_10,factorial_between_anova,anova_cauchy,wave2,two_sided,NA,NA,NA,primary,0.5,NA,NA,NA,NA,NA,1049,9.929653960744502e-42,37008739331698546e22,0.04040259777635519,88.80680252368754,38.56830429150927,anova_cauchy,outcome ~ B,outcome ~ A + B,bayesfactor_model_comparison
study_10_claim_01,study_10,factorial_between_anova,anova_cauchy,wave2,two_sided,NA,NA,NA,wide,0.707,NA,NA,NA,NA,NA,1049,9.929653960744502e-42,3179098317212051e23,0.01563664996796715,88.65483114231195,38.50230395917064,anova_cauchy,outcome ~ B,outcome ~ A + B,bayesfactor_model_comparison
study_10_claim_02,study_10,factorial_between_anova,anova_cauchy,wave2,two_sided,NA,NA,NA,narrow,0.25,NA,NA,NA,NA,NA,1049,1.532958092634304e-11,401829609.1146066,0.01516777087512422,19.81153869880627,8.604041934904291,anova_cauchy,outcome ~ B,outcome ~ A + B,bayesfactor_model_comparison
study_10_claim_02,study_10,factorial_between_anova,anova_cauchy,wave2,two_sided,NA,NA,NA,primary,0.5,NA,NA,NA,NA,NA,1049,1.532958092634304e-11,299540347.0332427,0.04019495770107454,19.517759681081778,8.476455328607587,anova_cauchy,outcome ~ B,outcome ~ A + B,bayesfactor_model_comparison
study_10_claim_02,study_10,factorial_between_anova,anova_cauchy,wave2,two_sided,NA,NA,NA,wide,0.707,NA,NA,NA,NA,NA,1049,1.532958092634304e-11,183480408.72206473,0.01539466287938467,19.027618455301756,8.263589698898029,anova_cauchy,outcome ~ B,outcome ~ A + B,bayesfactor_model_comparison
study_13_claim_01,study_13,welch_independent_t_test,welch_averaged,wave2,two_sided,NA,NA,NA,narrow,0.5,NA,NA,NA,195,303,498,3.2360126016710324e-39,35396062044309006e18,NA,79.55190864106923,34.54895494768799,welch_averaged,delta = 0; equal- and unequal-variance normal models averaged,"delta ~ Cauchy(0, 0.5); equal- and unequal-variance normal models averaged",RoBTT_variance_model_averaged
study_13_claim_01,study_13,welch_independent_t_test,welch_averaged,wave2,two_sided,NA,NA,NA,primary,0.707,NA,NA,NA,195,303,498,3.2360126016710324e-39,440919834954904e20,NA,79.77158605458469,34.644359636176524,welch_averaged,delta = 0; equal- and unequal-variance normal models averaged,"delta ~ Cauchy(0, 0.707); equal- and unequal-variance normal models averaged",RoBTT_variance_model_averaged
study_13_claim_01,study_13,welch_independent_t_test,welch_averaged,wave2,two_sided,NA,NA,NA,wide,1,NA,NA,NA,195,303,498,3.2360126016710324e-39,5037207669855755e19,NA,79.90474505658864,34.70218985596259,welch_averaged,delta = 0; equal- and unequal-variance normal models averaged,"delta ~ Cauchy(0, 1); equal- and unequal-variance normal models averaged",RoBTT_variance_model_averaged
study_13_claim_02,study_13,welch_independent_t_test,welch_averaged,wave2,two_sided,NA,NA,NA,narrow,0.5,NA,NA,NA,195,303,498,1.0387197857941702e-20,107533372168987340,NA,39.21657763308353,17.031543265178666,welch_averaged,delta = 0; equal- and unequal-variance normal models averaged,"delta ~ Cauchy(0, 0.5); equal- and unequal-variance normal models averaged",RoBTT_variance_model_averaged
study_13_claim_02,study_13,welch_independent_t_test,welch_averaged,wave2,two_sided,NA,NA,NA,primary,0.707,NA,NA,NA,195,303,498,1.0387197857941702e-20,120584730504765120,NA,39.331129058457726,17.081292317112833,welch_averaged,delta = 0; equal- and unequal-variance normal models averaged,"delta ~ Cauchy(0, 0.707); equal- and unequal-variance normal models averaged",RoBTT_variance_model_averaged
study_13_claim_02,study_13,welch_independent_t_test,welch_averaged,wave2,two_sided,NA,NA,NA,wide,1,NA,NA,NA,195,303,498,1.0387197857941702e-20,120793419220306100,NA,39.332858202274394,17.08204327473083,welch_averaged,delta = 0; equal- and unequal-variance normal models averaged,"delta ~ Cauchy(0, 1); equal- and unequal-variance normal models averaged",RoBTT_variance_model_averaged
study_29_claim_02,study_29,factorial_between_anova,anova_cauchy,wave2,two_sided,NA,NA,NA,narrow,0.25,NA,NA,NA,220,213,433,1.8812884935687636e-4,121.73547609845184,0.011451865382911,4.801850462020886,2.0854171585802512,anova_cauchy,outcome ~ B + A:B,outcome ~ A + B + A:B,bayesfactor_model_comparison
study_29_claim_02,study_29,factorial_between_anova,anova_cauchy,wave2,two_sided,NA,NA,NA,primary,0.5,NA,NA,NA,220,213,433,1.8812884935687636e-4,91.72662674171004,0.04946666507852412,4.518812705071382,1.9624954225668076,anova_cauchy,outcome ~ B + A:B,outcome ~ A + B + A:B,bayesfactor_model_comparison
study_29_claim_02,study_29,factorial_between_anova,anova_cauchy,wave2,two_sided,NA,NA,NA,wide,0.707,NA,NA,NA,220,213,433,1.8812884935687636e-4,75.88030369387023,0.01801963187478822,4.329157147350188,1.8801290603862095,anova_cauchy,outcome ~ B + A:B,outcome ~ A + B + A:B,bayesfactor_model_comparison
study_35_claim_01,study_35,mixed_anova,anova_cauchy,wave2,two_sided,NA,NA,NA,narrow,0.25,NA,NA,NA,NA,NA,60,0.01696583698840235,10.09400312306519,0.01438339143320819,2.311941497316199,1.0040634347675668,anova_cauchy,score ~ Sex + Sex:condition + participant,score ~ Sex + condition + Sex:condition + participant,bayesfactor_model_comparison
study_35_claim_01,study_35,mixed_anova,anova_cauchy,wave2,two_sided,NA,NA,NA,primary,0.5,NA,NA,NA,NA,NA,60,0.01696583698840235,5.4669103558759,0.03794955206670047,1.698713622462877,0.7377419525695113,anova_cauchy,score ~ Sex + Sex:condition + participant,score ~ Sex + condition + Sex:condition + participant,bayesfactor_model_comparison
study_35_claim_01,study_35,mixed_anova,anova_cauchy,wave2,two_sided,NA,NA,NA,wide,0.707,NA,NA,NA,NA,NA,60,0.01696583698840235,3.2568419156986668,0.02132110264739222,1.1807579883334245,0.5127966787963903,anova_cauchy,score ~ Sex + Sex:condition + participant,score ~ Sex + condition + Sex:condition + participant,bayesfactor_model_comparison
study_37_claim_01,study_37,mixed_effects_logistic_regression,full_bayesian_glmm,wave2,two_sided,NA,NA,NA,narrow,0.3,NA,NA,NA,NA,NA,563,5.085537391876573e-4,6.613334580827651,NA,1.8890880018218128,0.8204204950208533,glmm_full,full Bayesian GLMM without HUMAN_family1,full Bayesian GLMM with HUMAN_family1,full_bayesian_glmm_bridge_sampling
study_37_claim_01,study_37,mixed_effects_logistic_regression,full_bayesian_glmm,wave2,two_sided,NA,NA,NA,primary,0.6,NA,NA,NA,NA,NA,563,5.085537391876573e-4,25.13625455688474,NA,3.224311208645497,1.4003005658535437,glmm_full,full Bayesian GLMM without HUMAN_family1,full Bayesian GLMM with HUMAN_family1,full_bayesian_glmm_bridge_sampling
study_37_claim_01,study_37,mixed_effects_logistic_regression,full_bayesian_glmm,wave2,two_sided,NA,NA,NA,wide,1,NA,NA,NA,NA,NA,563,5.085537391876573e-4,36.07399651211967,NA,3.5855722875611833,1.5571942589530414,glmm_full,full Bayesian GLMM without HUMAN_family1,full Bayesian GLMM with HUMAN_family1,full_bayesian_glmm_bridge_sampling
study_37_claim_02,study_37,mixed_effects_logistic_regression,full_bayesian_glmm,wave2,two_sided,NA,NA,NA,narrow,0.3,NA,NA,NA,NA,NA,563,0.00680125755823099,1.5951596169814553,NA,0.4669738045724102,0.20280414651916528,glmm_full,full Bayesian GLMM without synchronous11,full Bayesian GLMM with synchronous11,full_bayesian_glmm_bridge_sampling
study_37_claim_02,study_37,mixed_effects_logistic_regression,full_bayesian_glmm,wave2,two_sided,NA,NA,NA,primary,0.6,NA,NA,NA,NA,NA,563,0.00680125755823099,2.909047795253798,NA,1.067825809510026,0.4637508567040772,glmm_full,full Bayesian GLMM without synchronous11,full Bayesian GLMM with synchronous11,full_bayesian_glmm_bridge_sampling
study_37_claim_02,study_37,mixed_effects_logistic_regression,full_bayesian_glmm,wave2,two_sided,NA,NA,NA,wide,1,NA,NA,NA,NA,NA,563,0.00680125755823099,3.668835447049747,NA,1.2998742948306472,0.5645282334128306,glmm_full,full Bayesian GLMM without synchronous11,full Bayesian GLMM with synchronous11,full_bayesian_glmm_bridge_sampling
study_43_claim_01,study_43,mixed_anova,gaussian_adjusted_contrast,wave2,two_sided,NA,NA,NA,narrow,0.3,NA,NA,NA,NA,NA,67,0.02426068009909113,3.4292743325729345,3.603000949487343e-4,1.2323486739473082,0.5352022288761056,normal_focal_bridge,outcome_z ~ 0 + nuisance_1 + nuisance_2,outcome_z ~ 0 + focal + nuisance_1 + nuisance_2,adjusted_contrast_gaussian_bridge_sampling
study_43_claim_01,study_43,mixed_anova,gaussian_adjusted_contrast,wave2,two_sided,NA,NA,NA,primary,0.6,NA,NA,NA,NA,NA,67,0.02426068009909113,2.3446819773525616,6.034039700503753e-4,0.8521497753677181,0.37008394519729554,normal_focal_bridge,outcome_z ~ 0 + nuisance_1 + nuisance_2,outcome_z ~ 0 + focal + nuisance_1 + nuisance_2,adjusted_contrast_gaussian_bridge_sampling
study_43_claim_01,study_43,mixed_anova,gaussian_adjusted_contrast,wave2,two_sided,NA,NA,NA,wide,1,NA,NA,NA,NA,NA,67,0.02426068009909113,1.523436709654453,3.411318267205322e-4,0.420968775853072,0.18282441640655603,normal_focal_bridge,outcome_z ~ 0 + nuisance_1 + nuisance_2,outcome_z ~ 0 + focal + nuisance_1 + nuisance_2,adjusted_contrast_gaussian_bridge_sampling
study_43_claim_02,study_43,mixed_anova,gaussian_adjusted_contrast,wave2,two_sided,NA,NA,NA,narrow,0.3,NA,NA,NA,NA,NA,67,4.6622630546360285e-5,514.219779558147,7.325018654769821e-4,6.242650760755029,2.711148777845046,normal_focal_bridge,outcome_z ~ 0 + nuisance_1 + nuisance_2,outcome_z ~ 0 + focal + nuisance_1 + nuisance_2,adjusted_contrast_gaussian_bridge_sampling
study_43_claim_02,study_43,mixed_anova,gaussian_adjusted_contrast,wave2,two_sided,NA,NA,NA,primary,0.6,NA,NA,NA,NA,NA,67,4.6622630546360285e-5,665.388459278528,5.052092649196954e-4,6.500371019398091,2.8230752640484065,normal_focal_bridge,outcome_z ~ 0 + nuisance_1 + nuisance_2,outcome_z ~ 0 + focal + nuisance_1 + nuisance_2,adjusted_contrast_gaussian_bridge_sampling
study_43_claim_02,study_43,mixed_anova,gaussian_adjusted_contrast,wave2,two_sided,NA,NA,NA,wide,1,NA,NA,NA,NA,NA,67,4.6622630546360285e-5,503.5698132213355,5.918579903021137e-4,6.221722358398492,2.70205968818655,normal_focal_bridge,outcome_z ~ 0 + nuisance_1 + nuisance_2,outcome_z ~ 0 + focal + nuisance_1 + nuisance_2,adjusted_contrast_gaussian_bridge_sampling
study_47_claim_02,study_47,mixed_anova,anova_cauchy,wave2,two_sided,NA,NA,NA,narrow,0.25,NA,NA,NA,63,58,121,0.0569589309954774,1.57853034497779,0.22851538082335768,0.4564942527638466,0.1982529349958868,anova_cauchy,score ~ Condition + format + participant,score ~ Condition + format + Condition:format + participant,bayesfactor_model_comparison
study_47_claim_02,study_47,mixed_anova,anova_cauchy,wave2,two_sided,NA,NA,NA,primary,0.5,NA,NA,NA,63,58,121,0.0569589309954774,0.6862498907976613,0.05589924796434194,-0.3765134452875003,-0.16351771165074327,anova_cauchy,score ~ Condition + format + participant,score ~ Condition + format + Condition:format + participant,bayesfactor_model_comparison
study_47_claim_02,study_47,mixed_anova,anova_cauchy,wave2,two_sided,NA,NA,NA,wide,0.707,NA,NA,NA,63,58,121,0.0569589309954774,0.42911004964232513,0.02324688348453297,-0.8460418669784957,-0.36743131428788567,anova_cauchy,score ~ Condition + format + participant,score ~ Condition + format + Condition:format + participant,bayesfactor_model_comparison
study_55_claim_01,study_55,welch_anova,heteroscedastic_gaussian_anova,wave2,two_sided,NA,NA,NA,narrow,0.25,NA,NA,NA,NA,NA,154,1.0526584661919701e-14,55481518809.80252,3.816355621236402e-4,24.739315807825875,10.744148341400663,welch_anova_normal,outcome_z ~ 0 + Intercept; sigma ~ 0 + condition,outcome_z ~ 0 + Intercept + contrast_1 + contrast_2 + contrast_3; sigma ~ 0 + condition,heteroscedastic_gaussian_anova_bridge_sampling
study_55_claim_01,study_55,welch_anova,heteroscedastic_gaussian_anova,wave2,two_sided,NA,NA,NA,primary,0.5,NA,NA,NA,NA,NA,154,1.0526584661919701e-14,2355712805782.5566,6.667179976514643e-4,28.487864475213975,12.372122342793103,welch_anova_normal,outcome_z ~ 0 + Intercept; sigma ~ 0 + condition,outcome_z ~ 0 + Intercept + contrast_1 + contrast_2 + contrast_3; sigma ~ 0 + condition,heteroscedastic_gaussian_anova_bridge_sampling
